#Hilos Tiempo
1 8.712
2 5.355
3 4.794
4 3.402
5 3.030
6 2.988
7 2.950
8 2.820
9 2.423
10 2.340
11 2.328
12 2.445
13 2.371
14 2.375
15 2.183
16 2.354
17 2.394
18 2.359
19 2.276
20 2.837
21 2.521
22 2.277
23 2.320
24 2.415
25 2.458
26 2.326
27 2.435
28 2.438
29 2.380
30 2.464
31 2.448
32 2.442
33 2.479
34 2.676
35 2.498
36 2.660
37 2.670
38 2.799
39 3.085
40 3.952
41 3.676
42 3.281
43 2.985
44 2.783
45 2.679
46 2.547
47 2.525
48 2.647
49 2.635
50 2.740
51 2.688
52 2.642
53 2.810
54 2.640
55 2.726
56 2.703
57 2.790
58 2.901
59 3.057
60 3.217
61 3.833
62 4.323
63 3.893
64 3.406
65 3.244
66 3.115
67 2.963
68 2.949
69 3.132
70 3.009
71 3.281
72 3.318
73 3.249
74 3.262
75 3.273
76 3.364
77 3.637
78 4.468
79 4.776
80 4.759
81 4.216
82 3.820
83 3.597
84 3.401
85 3.330
86 3.244
87 3.378
88 3.420
89 3.523
90 3.625
91 3.582
92 3.953
93 4.585
94 5.233
95 5.316
96 4.862
97 4.013
98 3.700
99 3.528
100 3.490
